Season,Lg,Team,W,L,W/L%,Finish,SRS,,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,,Playoffs,Coaches,Top WS
1978-79,NBA,Denver Nuggets*,47,35,.573,2nd of 5,1.24,,105.9,0.1,104.4,0.6,103.2,-0.6,,Lost W. Conf. 1st Rnd.,L. Brown (28-25) D. Walsh (19-10),D. Issel (9.8)
1977-78,NBA,Denver Nuggets*,48,34,.585,1st of 6,0.80,,108.5,1.8,102.3,1.4,101.5,0.6,,Lost W. Conf. Finals,L. Brown (48-34),D. Thompson (12.7)
1976-77,NBA,Denver Nuggets*,50,32,.610,1st of 6,4.95,,111.2,4.7,100.7,1.2,96.1,-3.4,,Lost W. Conf. Semis,L. Brown (50-32),B. Jones (11.0)
1975-76,ABA,Denver Nuggets*,60,24,.714,1st of 0,5.45,,111.2,4.3,108.7,4.6,103.4,-0.7,,Lost Finals,L. Brown (60-24),D. Issel (12.5)
1974-75,ABA,Denver Nuggets*,65,19,.774,1st of 5,6.63,,107.6,4.5,109.4,4.7,102.7,-2.0,,Lost W. Div. Finals,L. Brown (65-19),B. Jones (10.2)
1973-74,ABA,Denver Rockets*,37,47,.440,5th of 5,-0.49,,103.2,0.6,103.1,0.1,103.5,0.5,,Lost W. Div. Tiebreaker,A. Hannum (37-47),D. Robisch (9.1)
1972-73,ABA,Denver Rockets*,47,37,.560,3rd of 5,2.80,,106.8,-2.5,103.1,1.3,100.1,-1.7,,Lost W. Div. Semis,A. Hannum (47-37),W. Jabali (10.7)
1971-72,ABA,Denver Rockets*,34,50,.405,4th of 5,-0.93,,112.8,0.9,98.4,-2.2,99.5,-1.1,,Lost W. Div. Semis,A. Hannum (34-50),R. Simpson (7.2)
1970-71,ABA,Denver Rockets*,30,54,.357,5th of 5,-3.15,,113.9,2.8,102.8,-2.2,106.3,1.3,,Lost W. Div. Tiebreaker,J. Belmont (3-10) S. Albeck (27-44),L. Cannon (7.2)
1969-70,ABA,Denver Rockets*,51,33,.607,1st of 5,4.32,,107.6,-1.6,106.2,3.5,102.2,-0.5,,Lost W. Div. Finals,J. McLendon (9-19) J. Belmont (42-14),S. Haywood (17.1)
1968-69,ABA,Denver Rockets*,44,34,.564,3rd of 6,1.41,,106.9,-2.5,106.4,2.4,105.0,1.0,,Lost W. Div. Semis,B. Bass (44-34),L. Jones (10.9)
1967-68,ABA,Denver Rockets*,45,33,.577,3rd of 6,3.53,,103.0,-4.0,102.0,0.7,97.9,-3.4,,Lost W. Div. Semis,B. Bass (45-33),L. Jones (11.8)S
